commande	1_graph	8_frantfreqparm
343	nature	203.55
344	sûr	203.35
345	sait	202.87
346	aucun	201.19
347	demande	200.74
348	table	200.58
349	mis	199.74
350	femmes	199.71
351	instant	197.84
352	disait	197.55
353	nouvelle	197.03
354	petits	196.45
355	besoin	196.42
356	lit	196.39
357	celles	195
358	laquelle	194.74
359	fils	194.45
360	beau	194.32
361	face	194.03
362	lorsque	194.03
363	monsieur	192.97
364	semble	192.35
365	trouve	192.29
366	passer	191.97
367	silence	191.9
368	quelle	190.52
369	âge	190.26
370	selon	190.03
371	vingt	189.94
372	mettre	189.45
373	es	188.55
374	rôle	185.48
375	aucune	184.65
376	fallait	184.03
377	jeu	183.71
378	système	183.45
379	partir	182.74
380	ah	182.55
381	vient	182.35
382	propre	181.77
383	peur	181.58
384	prix	181.19
385	eut	180.68
386	vraiment	180.13
387	veut	179.94
388	oeil	179.9
389	s	179.55
390	travers	179.06
391	sommes	178.87
392	mouvement	178.58
393	tel	178.48
394	crois	177.55
395	chacun	177.35
396	parmi	177.1
397	donne	176.55
398	telle	174.97
399	dernier	174.29
400	rapport	171.68
401	conditions	171.58
402	famille	171.1
403	ayant	170.65
404	manière	170.45
405	chef	170.39
406	service	169.94
407	font	169.84
408	pied	169.65
409	école	169.42
410	type	169.39
411	juste	169.16
412	grandes	168.97
413	noir	168.97
414	route	168.42
415	b	167.65
416	enseignement	167.03
417	époque	166.97
418	rouge	166.68
419	donné	166.61
420	plan	166.45
421	cause	166.23
422	passe	166.16
423	tandis	165.03
424	belle	164.58
425	loi	164.48
426	aime	163.77
427	gros	163.23
428	année	162.84
429	objet	162.55
430	moyen	162.32
431	p	161.77
432	e	161.68
433	dû	161.65
434	train	161.55
435	certaines	161.13
436	étant	160.71
437	également	160.32
438	contraire	158.23
439	problème	157.87
440	malgré	157.58
441	unis	157.48
442	voit	156.65
443	pourrait	156.45
444	feu	156.29
445	ensuite	156.1
446	êtes	155.48
447	plein	155.42
448	simple	154.71
449	société	154.65
450	vais	153.87
451	ait	153.77
452	grâce	153.45
453	c	153.35
454	demi	153.35
455	étude	153.32
456	valeur	152.32
457	pieds	151.42
458	production	151.1
459	ta	150.71
460	bouche	150.68
461	venait	150.29
462	agit	150.16
463	trouver	149.81
464	groupe	148.84
465	présent	148.61
466	certain	147.84
467	intérieur	147.58
468	eût	147.48
469	vieille	147.19
470	jeunes	147
471	gauche	145.19
472	aurais	144.97
473	vois	144.9
474	livre	144.29
475	blanc	143.71
476	sang	143.45
477	argent	143
478	semblait	142.9
479	soudain	142.87
480	moyens	141.39
481	vent	141.39
482	éléments	141.03
483	marie	141
484	début	140.84
485	existence	140.13
486	technique	139.97
487	cheveux	139.74
488	bruit	139.52
489	julien	139.45
490	rire	139.29
491	française	139.1
492	vivre	138.97
493	six	138.87
494	chemin	138.39
495	droite	137.97
496	travaux	137.97
497	envie	137.55
498	dernière	137.42
499	importance	137.16
500	développement	136.97
501	situation	136.16
502	peux	136.03
503	regarde	135.65
504	jacques	135.61
505	économique	135.13
506	conseil	135.06
507	sol	134.42
508	partout	134.1
509	études	133.94
510	demanda	133.06
511	intérêt	133
512	présence	132.68
513	fonction	132.61
514	louis	132.61
515	générale	132.23
516	entendu	131.48
517	savait	131.16
518	mise	131.03
519	lequel	130.84
520	nationale	130.65
521	pièce	130.29
522	image	130.13
523	angleterre	129.97
524	midi	129.84
525	caractère	129.74
526	réalité	129.71
527	laisser	129.42
528	rendre	128.35
529	sourire	128.35
530	voulait	128.35
531	plaisir	128.03
532	dehors	127.77
533	formes	127.68
534	puisque	127.16
535	domaine	126.77
536	nouvelles	126.77
537	musique	126.74
538	fais	126.58
539	salle	126.52
540	gouvernement	126.39
541	olivier	126.16
542	venir	126.16
543	direction	126.06
544	prend	125.55
545	groupes	125.32
546	pensée	125.16
547	mille	124.9
548	garde	124.52
549	longue	124.45
550	particulier	124.16
551	madame	124
552	petites	123.74
553	théorie	123.58
554	comprendre	123.42
555	sujet	123.16
556	voiture	123.13
557	seconde	122.9
558	oh	122.84
559	vide	122.68
560	suivant	122.45
561	matière	122.26
562	public	122.13
563	parle	122.1
564	vérité	121.9
565	ombre	121.87
566	centre	121.32
567	libre	121.1
568	laisse	120.97
569	vos	120.9
570	m	120.81
571	bord	120.68
572	arrive	120.65
573	pense	120.19
574	genre	120
575	dos	119.81
576	forces	119.77
577	marche	119.74
578	évolution	119.71
579	principe	119.65
580	espace	119.61
581	niveau	119
582	existe	118.97
583	problèmes	118.74
584	paris	118.55
585	coups	118.52
586	importe	118.32
587	penser	118.26
588	services	117.97
589	aussitôt	117.87
590	voulu	117.42
591	effort	117.35
592	soi	116.9
593	conscience	116.74
594	chercher	116.45
595	filles	116.23
596	huit	116.03
597	recherche	115.77
598	appelle	115.74
599	cent	115.52
600	premiers	115.29
601	verre	115.29
602	liberté	115.26
603	croire	114.71
604	nord	114.68
605	âme	114.39
606	paraît	114.16
607	classe	114
608	bientôt	113.87
609	simplement	113.68
610	arrière	113.45
611	fenêtre	113.29
612	maître	113.23
613	parents	113
614	parti	112.71
615	r	112.61
616	pauvre	112.58
617	courant	112.45
618	connaissance	112.26
619	difficile	112
620	passage	111.74
621	fût	111.58
622	aura	111.52
623	origine	111.39
624	attention	111.03
625	furent	111.03
626	doivent	110.94
627	retour	110.35
628	faits	110.29
629	sociale	109.97
630	froid	109.13
631	j	108.74
632	divers	108.58
633	espèce	108.35
634	nécessaire	108.19
635	eh	107.52
636	entendre	107.39
637	lèvres	107.35
638	organisation	107.26
639	peau	107.26
640	quant	107.13
641	écrit	107.03
642	affaire	106.9
643	marché	106.87
644	roi	106.61
645	h	105.84
646	guère	105.74
647	progrès	105.68
648	accord	105.58
649	outre	105.52
650	langue	105.42
651	blanche	105.1
652	garçon	104.74
653	tenir	104.52
654	permet	104.23
655	activité	104.19
656	idées	103.97
657	avenir	103.81
658	londres	103.58
659	voie	103.52
660	amis	103.29
661	compris	103.29
662	membres	103.19
663	soeur	103
664	champ	102.94
665	livres	102.84
666	avions	102.74
667	signe	102.61
668	demander	102.48
